game_number,opponent_race,game_length_seconds_max_600,inject_time
1,Protoss,600,189.64285714285717
1,Protoss,600,221.07142857142858
1,Protoss,600,222.0982142857143
1,Protoss,600,250.49107142857144
1,Protoss,600,253.6607142857143
1,Protoss,600,283.70535714285717
1,Protoss,600,287.9017857142857
1,Protoss,600,301.6071428571429
1,Protoss,600,318.92857142857144
1,Protoss,600,320.53571428571433
1,Protoss,600,345.22321428571433
1,Protoss,600,352.14285714285717
1,Protoss,600,360.4464285714286
1,Protoss,600,378.70535714285717
1,Protoss,600,387.8125
1,Protoss,600,406.9642857142857
1,Protoss,600,413.2589285714286
1,Protoss,600,423.2589285714286
1,Protoss,600,425.9821428571429
1,Protoss,600,453.75000000000006
1,Protoss,600,469.64285714285717
1,Protoss,600,480.89285714285717
1,Protoss,600,496.42857142857144
1,Protoss,600,510.4464285714286
1,Protoss,600,532.0089285714286
1,Protoss,600,547.8571428571429
1,Protoss,600,550.0446428571429
1,Protoss,600,565.4017857142858
1,Protoss,600,598.8839285714286
2,Protoss,257,182.23214285714286
2,Protoss,257,219.0625
2,Protoss,257,219.95535714285717
2,Protoss,257,229.73214285714286
3,Terran,555,151.29464285714286
3,Terran,555,184.9107142857143
3,Terran,555,205.17857142857144
3,Terran,555,219.50892857142858
3,Terran,555,238.0357142857143
3,Terran,555,277.0982142857143
3,Terran,555,301.0714285714286
3,Terran,555,314.8214285714286
3,Terran,555,316.1607142857143
3,Terran,555,342.41071428571433
3,Terran,555,347.9017857142857
3,Terran,555,369.59821428571433
3,Terran,555,375.9375
3,Terran,555,385.0446428571429
3,Terran,555,397.99107142857144
3,Terran,555,409.24107142857144
3,Terran,555,420.49107142857144
3,Terran,555,435.7589285714286
3,Terran,555,460.26785714285717
3,Terran,555,477.5892857142857
3,Terran,555,481.6964285714286
3,Terran,555,500.26785714285717
3,Terran,555,501.20535714285717
3,Terran,555,523.6607142857143
3,Terran,555,547.1875
4,Protoss,528,186.96428571428572
4,Protoss,528,218.48214285714286
4,Protoss,528,236.4732142857143
4,Protoss,528,252.23214285714286
4,Protoss,528,268.2589285714286
4,Protoss,528,288.9732142857143
4,Protoss,528,295.3571428571429
4,Protoss,528,309.55357142857144
4,Protoss,528,324.1517857142857
4,Protoss,528,337.6339285714286
4,Protoss,528,341.42857142857144
4,Protoss,528,347.8125
4,Protoss,528,349.33035714285717
4,Protoss,528,363.75
4,Protoss,528,377.72321428571433
4,Protoss,528,386.16071428571433
4,Protoss,528,400.80357142857144
4,Protoss,528,442.72321428571433
4,Protoss,528,456.83035714285717
4,Protoss,528,461.9642857142857
4,Protoss,528,487.9017857142857
5,Zerg,600,151.1607142857143
5,Zerg,600,178.83928571428572
5,Zerg,600,183.16964285714286
5,Zerg,600,187.85714285714286
5,Zerg,600,210.2232142857143
5,Zerg,600,212.54464285714286
5,Zerg,600,214.19642857142858
5,Zerg,600,218.0357142857143
5,Zerg,600,243.3482142857143
5,Zerg,600,246.20535714285717
5,Zerg,600,249.86607142857144
5,Zerg,600,280.8482142857143
5,Zerg,600,280.9821428571429
5,Zerg,600,282.2321428571429
5,Zerg,600,283.39285714285717
5,Zerg,600,296.42857142857144
5,Zerg,600,310.7142857142857
5,Zerg,600,332.09821428571433
5,Zerg,600,367.9017857142857
5,Zerg,600,386.47321428571433
5,Zerg,600,399.91071428571433
5,Zerg,600,414.28571428571433
5,Zerg,600,426.9196428571429
5,Zerg,600,438.61607142857144
5,Zerg,600,446.16071428571433
5,Zerg,600,454.1517857142857
5,Zerg,600,456.6517857142857
5,Zerg,600,464.68750000000006
5,Zerg,600,468.5267857142857
5,Zerg,600,476.56250000000006
5,Zerg,600,492.6339285714286
5,Zerg,600,496.83035714285717
5,Zerg,600,499.8214285714286
5,Zerg,600,504.06250000000006
5,Zerg,600,518.5267857142858
5,Zerg,600,519.5089285714286
5,Zerg,600,527.2321428571429
5,Zerg,600,529.0178571428572
5,Zerg,600,541.2946428571429
5,Zerg,600,544.0625
5,Zerg,600,546.0267857142858
5,Zerg,600,553.4375
5,Zerg,600,566.9196428571429
5,Zerg,600,567.9017857142858
5,Zerg,600,595.5357142857143
6,Terran,474,150.44642857142858
6,Terran,474,186.29464285714286
6,Terran,474,205.0
6,Terran,474,218.4375
6,Terran,474,236.1607142857143
6,Terran,474,250.75892857142858
6,Terran,474,268.70535714285717
6,Terran,474,278.5714285714286
6,Terran,474,285.89285714285717
6,Terran,474,316.9642857142857
6,Terran,474,335.17857142857144
6,Terran,474,336.5625
6,Terran,474,353.125
6,Terran,474,354.7767857142857
6,Terran,474,364.55357142857144
6,Terran,474,375.89285714285717
6,Terran,474,384.4196428571429
6,Terran,474,407.6339285714286
6,Terran,474,434.6875
7,Protoss,600,185.40178571428572
7,Protoss,600,217.00892857142858
7,Protoss,600,221.69642857142858
7,Protoss,600,247.99107142857144
7,Protoss,600,250.04464285714286
7,Protoss,600,267.5446428571429
7,Protoss,600,271.51785714285717
7,Protoss,600,279.8214285714286
7,Protoss,600,281.4732142857143
7,Protoss,600,291.6517857142857
7,Protoss,600,302.36607142857144
7,Protoss,600,312.5
7,Protoss,600,339.1964285714286
7,Protoss,600,343.125
7,Protoss,600,373.61607142857144
7,Protoss,600,378.75
7,Protoss,600,382.5446428571429
7,Protoss,600,384.28571428571433
7,Protoss,600,385.0446428571429
7,Protoss,600,403.4375
7,Protoss,600,417.9464285714286
7,Protoss,600,425.6696428571429
7,Protoss,600,429.91071428571433
7,Protoss,600,435.7142857142857
7,Protoss,600,439.1517857142857
7,Protoss,600,447.14285714285717
7,Protoss,600,484.4196428571429
7,Protoss,600,499.06250000000006
7,Protoss,600,508.43750000000006
7,Protoss,600,524.5982142857143
7,Protoss,600,549.6875
7,Protoss,600,569.5089285714286
8,Protoss,600,187.00892857142858
8,Protoss,600,214.0625
8,Protoss,600,223.125
8,Protoss,600,245.93750000000003
8,Protoss,600,256.83035714285717
8,Protoss,600,269.375
8,Protoss,600,287.9017857142857
8,Protoss,600,292.0089285714286
8,Protoss,600,293.6607142857143
8,Protoss,600,301.3839285714286
8,Protoss,600,307.36607142857144
8,Protoss,600,317.2321428571429
8,Protoss,600,330.49107142857144
8,Protoss,600,348.08035714285717
8,Protoss,600,356.3392857142857
8,Protoss,600,372.9017857142857
8,Protoss,600,375.9375
8,Protoss,600,395.84821428571433
8,Protoss,600,405.0892857142857
8,Protoss,600,411.83035714285717
8,Protoss,600,417.9464285714286
8,Protoss,600,421.3392857142857
8,Protoss,600,429.6875
8,Protoss,600,437.41071428571433
8,Protoss,600,447.76785714285717
8,Protoss,600,453.2142857142857
8,Protoss,600,465.3571428571429
8,Protoss,600,482.9017857142857
8,Protoss,600,498.70535714285717
8,Protoss,600,519.9107142857143
8,Protoss,600,531.1160714285714
8,Protoss,600,546.875
8,Protoss,600,560.6696428571429
8,Protoss,600,570.8928571428572
8,Protoss,600,579.9553571428572
9,Zerg,600,176.96428571428572
9,Zerg,600,182.90178571428572
9,Zerg,600,202.7232142857143
9,Zerg,600,213.6607142857143
9,Zerg,600,214.64285714285717
9,Zerg,600,219.55357142857144
9,Zerg,600,224.9107142857143
9,Zerg,600,232.23214285714286
9,Zerg,600,245.80357142857144
9,Zerg,600,260.3125
9,Zerg,600,268.08035714285717
9,Zerg,600,277.2767857142857
9,Zerg,600,278.8839285714286
9,Zerg,600,282.05357142857144
9,Zerg,600,303.125
9,Zerg,600,312.1875
9,Zerg,600,315.4464285714286
9,Zerg,600,323.8839285714286
9,Zerg,600,334.4642857142857
9,Zerg,600,342.76785714285717
9,Zerg,600,345.53571428571433
9,Zerg,600,362.5
9,Zerg,600,363.7946428571429
9,Zerg,600,366.42857142857144
9,Zerg,600,372.72321428571433
9,Zerg,600,375.7142857142857
9,Zerg,600,397.5
9,Zerg,600,402.72321428571433
9,Zerg,600,404.64285714285717
9,Zerg,600,414.91071428571433
9,Zerg,600,429.1071428571429
9,Zerg,600,436.6964285714286
9,Zerg,600,437.05357142857144
9,Zerg,600,438.1696428571429
9,Zerg,600,453.61607142857144
9,Zerg,600,455.0892857142857
9,Zerg,600,458.03571428571433
9,Zerg,600,464.1071428571429
9,Zerg,600,466.9196428571429
9,Zerg,600,472.0089285714286
9,Zerg,600,483.8839285714286
9,Zerg,600,495.0446428571429
9,Zerg,600,495.89285714285717
9,Zerg,600,506.0714285714286
9,Zerg,600,514.9107142857143
9,Zerg,600,525.9821428571429
9,Zerg,600,534.5089285714286
9,Zerg,600,534.7321428571429
9,Zerg,600,555.9821428571429
9,Zerg,600,561.1160714285714
9,Zerg,600,564.9107142857143
9,Zerg,600,568.1696428571429
9,Zerg,600,572.9017857142858
9,Zerg,600,584.5982142857143
9,Zerg,600,585.9821428571429
10,Terran,387,291.0267857142857
10,Terran,387,318.61607142857144
10,Terran,387,344.8214285714286
11,Terran,600,146.33928571428572
11,Terran,600,183.9732142857143
11,Terran,600,206.1607142857143
11,Terran,600,215.80357142857144
11,Terran,600,240.13392857142858
11,Terran,600,246.56250000000003
11,Terran,600,254.41964285714286
11,Terran,600,282.67857142857144
11,Terran,600,298.4375
11,Terran,600,302.67857142857144
11,Terran,600,306.74107142857144
11,Terran,600,315.6696428571429
11,Terran,600,318.8839285714286
11,Terran,600,340.7142857142857
11,Terran,600,346.78571428571433
11,Terran,600,355.3125
11,Terran,600,364.8214285714286
11,Terran,600,378.08035714285717
11,Terran,600,388.03571428571433
11,Terran,600,394.375
11,Terran,600,403.2589285714286
11,Terran,600,408.5714285714286
11,Terran,600,440.7142857142857
11,Terran,600,461.6071428571429
11,Terran,600,465.53571428571433
11,Terran,600,477.2767857142857
11,Terran,600,478.43750000000006
11,Terran,600,500.4017857142857
11,Terran,600,514.2857142857143
11,Terran,600,536.5178571428572
11,Terran,600,557.5892857142858
11,Terran,600,574.2410714285714
12,Protoss,519,187.45535714285717
12,Protoss,519,220.9375
12,Protoss,519,221.51785714285717
12,Protoss,519,250.49107142857144
12,Protoss,519,251.60714285714286
12,Protoss,519,283.0357142857143
12,Protoss,519,290.8482142857143
12,Protoss,519,308.2589285714286
12,Protoss,519,310.26785714285717
12,Protoss,519,319.9107142857143
12,Protoss,519,331.20535714285717
12,Protoss,519,343.66071428571433
12,Protoss,519,347.09821428571433
12,Protoss,519,350.0892857142857
12,Protoss,519,371.25
12,Protoss,519,388.2589285714286
12,Protoss,519,400.3571428571429
12,Protoss,519,411.42857142857144
12,Protoss,519,458.8392857142857
12,Protoss,519,468.92857142857144
12,Protoss,519,471.11607142857144
12,Protoss,519,498.08035714285717
13,Protoss,600,187.00892857142858
13,Protoss,600,215.89285714285717
13,Protoss,600,237.90178571428572
13,Protoss,600,248.43750000000003
13,Protoss,600,278.75
13,Protoss,600,285.89285714285717
13,Protoss,600,312.4107142857143
13,Protoss,600,316.4732142857143
13,Protoss,600,337.5
13,Protoss,600,347.05357142857144
13,Protoss,600,365.7589285714286
13,Protoss,600,378.4375
13,Protoss,600,400.84821428571433
13,Protoss,600,412.6339285714286
13,Protoss,600,426.2946428571429
13,Protoss,600,467.41071428571433
13,Protoss,600,472.45535714285717
13,Protoss,600,476.2946428571429
13,Protoss,600,493.2142857142857
13,Protoss,600,500.4464285714286
13,Protoss,600,526.25
13,Protoss,600,530.2232142857143
13,Protoss,600,562.4553571428572
13,Protoss,600,573.7946428571429
14,Terran,600,183.6607142857143
14,Terran,600,215.5357142857143
14,Terran,600,216.07142857142858
14,Terran,600,247.36607142857144
14,Terran,600,278.4375
14,Terran,600,294.9107142857143
14,Terran,600,315.7142857142857
14,Terran,600,332.3214285714286
14,Terran,600,345.80357142857144
14,Terran,600,354.91071428571433
14,Terran,600,380.17857142857144
14,Terran,600,383.34821428571433
14,Terran,600,388.66071428571433
14,Terran,600,415.26785714285717
14,Terran,600,440.58035714285717
14,Terran,600,441.875
14,Terran,600,469.37500000000006
14,Terran,600,486.16071428571433
14,Terran,600,506.6517857142857
14,Terran,600,516.2946428571429
14,Terran,600,517.3660714285714
14,Terran,600,543.7946428571429
14,Terran,600,579.9553571428572
15,Zerg,409,153.88392857142858
15,Zerg,409,185.8482142857143
15,Zerg,409,187.00892857142858
15,Zerg,409,187.90178571428572
15,Zerg,409,188.39285714285717
15,Zerg,409,189.375
15,Zerg,409,218.08035714285717
15,Zerg,409,226.56250000000003
15,Zerg,409,230.93750000000003
15,Zerg,409,249.37500000000003
15,Zerg,409,260.0
15,Zerg,409,270.80357142857144
15,Zerg,409,273.1696428571429
15,Zerg,409,280.0446428571429
15,Zerg,409,283.61607142857144
15,Zerg,409,287.05357142857144
15,Zerg,409,316.7857142857143
15,Zerg,409,319.64285714285717
15,Zerg,409,335.3125
15,Zerg,409,337.8571428571429
15,Zerg,409,352.3214285714286
15,Zerg,409,353.4375
15,Zerg,409,360.4464285714286
15,Zerg,409,361.9196428571429
15,Zerg,409,376.6071428571429
15,Zerg,409,392.8125
16,Terran,600,179.6875
16,Terran,600,210.49107142857144
16,Terran,600,243.08035714285717
16,Terran,600,272.0089285714286
16,Terran,600,295.4464285714286
16,Terran,600,302.2321428571429
16,Terran,600,333.8839285714286
16,Terran,600,341.9196428571429
16,Terran,600,347.05357142857144
16,Terran,600,356.42857142857144
16,Terran,600,366.875
16,Terran,600,367.67857142857144
16,Terran,600,392.45535714285717
16,Terran,600,395.89285714285717
16,Terran,600,397.3214285714286
16,Terran,600,401.11607142857144
16,Terran,600,427.14285714285717
16,Terran,600,431.2946428571429
16,Terran,600,437.2767857142857
16,Terran,600,454.59821428571433
16,Terran,600,458.8392857142857
16,Terran,600,463.61607142857144
16,Terran,600,485.93750000000006
16,Terran,600,497.09821428571433
16,Terran,600,499.1517857142857
16,Terran,600,511.0714285714286
16,Terran,600,524.2410714285714
16,Terran,600,556.8303571428572
16,Terran,600,559.0178571428572
16,Terran,600,578.9732142857143
16,Terran,600,590.6696428571429
17,Terran,364,182.90178571428572
17,Terran,364,212.85714285714286
17,Terran,364,244.9107142857143
17,Terran,364,268.4375
17,Terran,364,294.5089285714286
17,Terran,364,347.0089285714286
17,Terran,364,348.125
18,Zerg,365,151.875
18,Zerg,365,184.82142857142858
18,Zerg,365,188.30357142857144
18,Zerg,365,207.45535714285717
18,Zerg,365,215.98214285714286
18,Zerg,365,234.33035714285717
18,Zerg,365,239.5982142857143
18,Zerg,365,249.77678571428572
18,Zerg,365,256.2946428571429
18,Zerg,365,275.0
18,Zerg,365,290.3571428571429
18,Zerg,365,355.9375
19,Zerg,528,172.54464285714286
19,Zerg,528,192.1875
19,Zerg,528,203.25892857142858
19,Zerg,528,226.51785714285717
19,Zerg,528,236.29464285714286
19,Zerg,528,245.35714285714286
19,Zerg,528,257.9464285714286
19,Zerg,528,266.4732142857143
19,Zerg,528,267.5892857142857
19,Zerg,528,277.4107142857143
19,Zerg,528,287.99107142857144
19,Zerg,528,295.9821428571429
19,Zerg,528,299.4642857142857
19,Zerg,528,309.5982142857143
19,Zerg,528,323.97321428571433
19,Zerg,528,326.6964285714286
19,Zerg,528,327.1875
19,Zerg,528,337.36607142857144
19,Zerg,528,340.3571428571429
19,Zerg,528,350.3571428571429
19,Zerg,528,360.3571428571429
19,Zerg,528,363.97321428571433
19,Zerg,528,372.72321428571433
19,Zerg,528,391.51785714285717
19,Zerg,528,391.6517857142857
19,Zerg,528,399.0625
19,Zerg,528,407.67857142857144
19,Zerg,528,409.86607142857144
19,Zerg,528,414.64285714285717
19,Zerg,528,429.33035714285717
19,Zerg,528,440.0
19,Zerg,528,455.22321428571433
19,Zerg,528,457.72321428571433
19,Zerg,528,469.91071428571433
19,Zerg,528,472.81250000000006
19,Zerg,528,482.3214285714286
19,Zerg,528,510.84821428571433
20,Zerg,600,175.17857142857144
20,Zerg,600,189.375
20,Zerg,600,203.70535714285717
20,Zerg,600,214.24107142857144
20,Zerg,600,231.02678571428572
20,Zerg,600,231.4732142857143
20,Zerg,600,239.64285714285717
20,Zerg,600,242.05357142857144
20,Zerg,600,242.32142857142858
20,Zerg,600,247.58928571428572
20,Zerg,600,255.08928571428572
20,Zerg,600,261.42857142857144
20,Zerg,600,267.0089285714286
20,Zerg,600,280.80357142857144
20,Zerg,600,281.51785714285717
20,Zerg,600,299.375
20,Zerg,600,305.7589285714286
20,Zerg,600,315.0446428571429
20,Zerg,600,316.20535714285717
20,Zerg,600,322.3214285714286
20,Zerg,600,327.99107142857144
20,Zerg,600,340.9821428571429
20,Zerg,600,342.36607142857144
20,Zerg,600,343.5267857142857
20,Zerg,600,346.74107142857144
20,Zerg,600,360.58035714285717
20,Zerg,600,378.30357142857144
20,Zerg,600,381.6517857142857
20,Zerg,600,391.2946428571429
20,Zerg,600,394.375
20,Zerg,600,417.9017857142857
20,Zerg,600,417.9017857142857
20,Zerg,600,438.75
20,Zerg,600,444.28571428571433
20,Zerg,600,458.61607142857144
20,Zerg,600,465.7589285714286
20,Zerg,600,472.09821428571433
20,Zerg,600,473.97321428571433
20,Zerg,600,478.75000000000006
20,Zerg,600,481.83035714285717
20,Zerg,600,501.6071428571429
20,Zerg,600,504.1964285714286
20,Zerg,600,510.0446428571429
20,Zerg,600,512.5446428571429
20,Zerg,600,514.3303571428572
20,Zerg,600,535.5357142857143
20,Zerg,600,536.4285714285714
20,Zerg,600,538.0357142857143
20,Zerg,600,549.4196428571429
20,Zerg,600,555.4017857142858
20,Zerg,600,561.6517857142858
20,Zerg,600,561.6517857142858
20,Zerg,600,566.7857142857143
20,Zerg,600,568.125
20,Zerg,600,574.2857142857143
20,Zerg,600,574.6875
20,Zerg,600,588.8392857142858
20,Zerg,600,591.2053571428572
21,Protoss,482,187.36607142857144
21,Protoss,482,217.00892857142858
21,Protoss,482,241.65178571428572
21,Protoss,482,249.10714285714286
21,Protoss,482,281.6517857142857
21,Protoss,482,289.2857142857143
21,Protoss,482,304.33035714285717
21,Protoss,482,315.4017857142857
21,Protoss,482,318.5267857142857
21,Protoss,482,331.42857142857144
21,Protoss,482,345.17857142857144
21,Protoss,482,352.9017857142857
21,Protoss,482,364.1071428571429
21,Protoss,482,380.53571428571433
21,Protoss,482,406.0714285714286
21,Protoss,482,439.91071428571433
21,Protoss,482,449.1071428571429
22,Zerg,600,150.17857142857144
22,Zerg,600,181.4732142857143
22,Zerg,600,182.14285714285717
22,Zerg,600,182.32142857142858
22,Zerg,600,188.61607142857144
22,Zerg,600,211.60714285714286
22,Zerg,600,213.6607142857143
22,Zerg,600,220.08928571428572
22,Zerg,600,236.42857142857144
22,Zerg,600,243.61607142857144
22,Zerg,600,251.20535714285717
22,Zerg,600,257.67857142857144
22,Zerg,600,275.58035714285717
22,Zerg,600,277.99107142857144
22,Zerg,600,283.6607142857143
22,Zerg,600,307.5
22,Zerg,600,311.7857142857143
22,Zerg,600,325.625
22,Zerg,600,342.14285714285717
22,Zerg,600,345.3571428571429
22,Zerg,600,352.8571428571429
22,Zerg,600,366.0267857142857
22,Zerg,600,376.0267857142857
22,Zerg,600,380.0
22,Zerg,600,392.5
22,Zerg,600,393.7946428571429
22,Zerg,600,396.51785714285717
22,Zerg,600,407.09821428571433
22,Zerg,600,414.5089285714286
22,Zerg,600,415.1339285714286
22,Zerg,600,418.61607142857144
22,Zerg,600,422.14285714285717
22,Zerg,600,432.2321428571429
22,Zerg,600,432.5446428571429
22,Zerg,600,444.1964285714286
22,Zerg,600,448.75000000000006
22,Zerg,600,460.0446428571429
22,Zerg,600,466.74107142857144
22,Zerg,600,468.97321428571433
22,Zerg,600,470.0892857142857
22,Zerg,600,475.9821428571429
22,Zerg,600,494.1964285714286
22,Zerg,600,498.5714285714286
22,Zerg,600,498.8839285714286
22,Zerg,600,513.2142857142858
22,Zerg,600,515.8928571428572
22,Zerg,600,531.2053571428572
22,Zerg,600,538.6607142857143
22,Zerg,600,568.5267857142858
22,Zerg,600,569.1071428571429
22,Zerg,600,576.1160714285714
22,Zerg,600,582.5892857142858
22,Zerg,600,593.125
22,Zerg,600,593.5714285714286
23,Zerg,481,154.2857142857143
23,Zerg,481,165.58035714285717
23,Zerg,481,195.625
23,Zerg,481,197.54464285714286
23,Zerg,481,208.52678571428572
23,Zerg,481,223.57142857142858
23,Zerg,481,227.7232142857143
23,Zerg,481,228.39285714285717
23,Zerg,481,234.37500000000003
23,Zerg,481,248.30357142857144
23,Zerg,481,254.06250000000003
23,Zerg,481,263.08035714285717
23,Zerg,481,263.39285714285717
23,Zerg,481,284.7767857142857
23,Zerg,481,287.36607142857144
23,Zerg,481,291.2946428571429
23,Zerg,481,293.6607142857143
23,Zerg,481,313.9732142857143
23,Zerg,481,318.4821428571429
23,Zerg,481,324.4642857142857
23,Zerg,481,336.9642857142857
23,Zerg,481,347.5892857142857
23,Zerg,481,365.26785714285717
23,Zerg,481,372.2767857142857
23,Zerg,481,383.75
23,Zerg,481,390.4017857142857
23,Zerg,481,404.24107142857144
23,Zerg,481,409.5089285714286
23,Zerg,481,421.20535714285717
23,Zerg,481,424.0625
23,Zerg,481,426.6071428571429
23,Zerg,481,434.33035714285717
23,Zerg,481,435.6696428571429
23,Zerg,481,464.86607142857144
24,Zerg,600,171.25
24,Zerg,600,205.71428571428572
24,Zerg,600,214.375
24,Zerg,600,240.5357142857143
24,Zerg,600,245.31250000000003
24,Zerg,600,246.7857142857143
24,Zerg,600,267.9017857142857
24,Zerg,600,269.2857142857143
24,Zerg,600,277.6339285714286
24,Zerg,600,280.9821428571429
24,Zerg,600,297.99107142857144
24,Zerg,600,301.0267857142857
